proof_name;collect_units;fix;reinsert;rebuild;reassemble;total time (seconds);original_lines;compressed_lines;line_difference;checker_err;elab_err;compress_err;invalid_compress;worked
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_20_24_16_447_6272472.alethe;"0,250413";"0,09262799999999999";"0,015166";"0,085076";"0,002357";"0,48412";59;57;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_17_51_36_276_5468724.alethe;"0,215277";"0,004594";"0,0026910000000000002";"0,072307";"0,002711";"0,33638";54;54;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_08_15_52_116_8818492.alethe;"0,075471";"0,00364";"0,0019410000000000002";"0,027802";"0,000522";"0,125035";15;15;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_08_56_17_735_8655768.alethe;"0,218082";"0,006934999999999999";"0,0028320000000000003";"0,07425899999999999";"0,000562";"0,330376";54;54;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_19_06_15_118_5385958.alethe;"0,051845999999999996";"0,003564";"0,002612";"0,021885";"0,000564";"0,0982";4;4;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_18_09_23_208_5836344.alethe;"0,298434";"0,00581";"0,003892";"0,121923";"0,003005";"0,485232";90;90;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_03_25_278_5032816.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_23_57_07_019_5661838.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_16_41_18_738_5323020.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_09_31_38_917_5654412.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_05_38_13_554_5028546.alethe;"0,046449000000000004";"0,002721";"0,0032600000000000003";"0,017908";"0,00042100000000000004";"0,084285";9;9;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_04_07_41_194_5082568.alethe;"0,105575";"0,004003";"0,002491";"0,039490000000000004";"0,001764";"0,176047";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_04_14_21_474_5205004.alethe;"0,280632";"0,005265000000000001";"0,002984";"0,107233";"0,003032";"0,442579";81;81;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_06_00_49_110_5032418.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_08_56_11_764_8645064.alethe;"0,34452499999999997";"0,010343999999999999";"0,002697";"0,121696";"0,001968";"0,526048";89;89;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_09_09_03_490_5075508.alethe;"0,129297";"0,0045839999999999995";"0,002339";"0,043335";"0,003496";"0,20993499999999998";25;25;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_28_53_116_17935124.alethe;"0,057613";"0,003898";"0,002164";"0,020812";"0,00041";"0,09809799999999999";12;12;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_20_25_31_090_6311276.alethe;"0,232374";"0,06903";"0,019478";"0,08473499999999999";"0,001853";"0,444405";58;56;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_19_11_14_459_5460274.alethe;"0,580339";"0,011366";"0,00593";"0,20969900000000002";"0,004471";"0,893642";58;58;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_46_18_567_6275552.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_15_33_38_803_5045694.alethe;"0,321386";"0,008089";"0,003046";"0,108262";"0,003023";"0,49024500000000004";83;83;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_23_17_253_5569450.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_23_37_07_091_5190448.alethe;"0,526469";"0,070181";"0,022129";"0,183523";"0,003602";"0,879014";133;131;-2;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_53_36_522_18311258.alethe;"0,28200000000000003";"0,009037";"0,002617";"0,096949";"0,001722";"0,42895";63;63;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_48_09_319_6301404.alethe;"0,950529";"0,25559299999999996";"0,019555000000000003";"0,373446";"0,003";"1,7152420000000002";299;290;-9;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_23_14_44_26_974_18142364.alethe;"0,193586";"0,006674";"0,004269";"0,071781";"0,0024590000000000002";"0,315257";17;17;0;;;;;1;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_01_08_07_803_5341376.alethe;;;;;;;;;;1;;;;;
benchmarks_solutions/small/SH_problems_all_filtered/isabelle-mirabelle/HOL-Library/smt_verit/x2020_07_24_02_25_28_563_5591336.alethe;"0,145986";"0,0061129999999999995";"0,001879";"0,050452";"0,00041";"0,225283";39;39;0;;;;;1;
